avg_order_hour,sin_order_hour,cos_order_hour,min_delivery_fee,max_delivery_fee,total_delivery_fee,min_amount_paid,max_amount_paid,total_amount_paid,amount_payment_1619,amount_payment_1779,amount_transmission_4228,amount_transmission_4324,amount_transmission_4356,amount_platform_29463,amount_platform_29815,amount_platform_30231,amount_platform_30359
1.0,-0.6000996896137485,0.6901169127294593,-0.008279085504999836,-0.003856195638428347,-0.002380728995247446,-0.039177813504605155,-0.03346162830756005,-0.005552388445595831,-0.0032501531251686593,-0.0019994226359698625,-0.004917581856494345,-0.0032880868011712847,-0.0021214813988455986,-0.03164730335890613,0.008785247737428163,0.012170918430512158,0.0031100563557860408
-0.6000996896137485,1.0,-0.309788383841195,0.02530242067130522,-0.04828570411147083,-0.05605608693287625,0.07266538754318005,-0.02867490809652128,-0.09911541252048155,-0.07917167840506573,-0.06737783262693552,-0.06344979700873991,-0.06577753604063001,-0.08122528918074233,-0.022224887693761852,-0.05343312008378664,-0.07404320572996431,-0.052144514211359926
0.6901169127294593,-0.309788383841195,1.0,0.016197905804839118,-0.015154530192697182,-0.024611830400332158,-0.00554758035351032,-0.04785875187979771,-0.04786664381033823,-0.034966515915552526,-0.031699372442574175,-0.03503071793659326,-0.02771548397956484,-0.03626292606743063,-0.05823367119112252,-0.00946663435450961,-0.013274499505183937,-0.007919937402093813
-0.008279085504999836,0.02530242067130522,0.016197905804839118,1.0,0.672839732404852,0.16610839955569556,0.1541468681715685,0.0257381438276447,-0.08307213461575481,-0.07636962924952796,-0.04452921579833414,-0.07215484521130708,-0.06439618905638506,-0.04928341128223441,-0.041563318082642776,-0.04335394637815174,-0.05207963156125191,-0.03102875232740499
-0.003856195638428347,-0.04828570411147083,-0.015154530192697182,0.672839732404852,1.0,0.44207787668265675,0.009183430530910863,0.1610406232698501,0.22628293449417783,0.17670544110022843,0.1388144779189175,0.1461319240268024,0.1368825335282913,0.1825291937092701,0.11632226652760566,0.11879036300444512,0.12390030556638788,0.08637729139093081
-0.002380728995247446,-0.05605608693287625,-0.024611830400332158,0.16610839955569556,0.44207787668265675,1.0,-0.07003015642155334,0.13044733545134568,0.5639664727637722,0.35733031671562837,0.39494025683577166,0.3250701847943754,0.3248897615840312,0.5022810761719364,0.3608736994584701,0.27017412474131974,0.30110570101878364,0.14957567641020267
-0.039177813504605155,0.07266538754318005,-0.00554758035351032,0.1541468681715685,0.009183430530910863,-0.07003015642155334,1.0,0.6488181533423096,-0.0734572026752301,-0.04809083623215575,-0.06602328325770727,-0.06066634777038632,-0.04582114154522486,-0.05501790060764644,-0.006507548488245405,-0.0578914625108507,-0.07781416863116412,-0.007491562030147699
-0.03346162830756005,-0.02867490809652128,-0.04785875187979771,0.0257381438276447,0.1610406232698501,0.13044733545134568,0.6488181533423096,1.0,0.35728467705035233,0.31757727786852175,0.18151165893035123,0.228053089203222,0.23000218341720513,0.28191143693935516,0.21829177448853962,0.1486861718565583,0.18549244201786486,0.14235572465237997
-0.005552388445595831,-0.09911541252048155,-0.04786664381033823,-0.08307213461575481,0.22628293449417783,0.5639664727637722,-0.0734572026752301,0.35728467705035233,1.0,0.7546964910263355,0.6354555894579874,0.6558444892924381,0.6395862164195161,0.8022977922159853,0.5704056137908009,0.4959234255226189,0.567718575488754,0.2878862158205474
-0.0032501531251686593,-0.07917167840506573,-0.034966515915552526,-0.07636962924952796,0.17670544110022843,0.35733031671562837,-0.04809083623215575,0.31757727786852175,0.7546964910263355,1.0,0.0907856937748872,0.5020399897280863,0.5176117729543713,0.6011654981591094,0.30499888246711454,0.39666536474070857,0.5159725925507203,0.24093838434865447
